id,fake,real
TEST_00000,0.00011432792234700173,0.9998831748962402
TEST_00001,1.1463346254458884e-06,0.9999988079071045
TEST_00002,1.6053642184488126e-06,0.9999983310699463
TEST_00003,3.744151854334632e-06,0.9999960660934448
TEST_00004,2.5807182737480616e-06,0.9999972581863403
TEST_00005,2.426515675324481e-05,0.9999747276306152
TEST_00006,3.572923560568597e-06,0.9999961853027344
TEST_00007,3.048696726182243e-06,0.9999966621398926
TEST_00008,5.752499873779016e-06,0.9999938011169434
TEST_00009,7.192815701273503e-06,0.9999924898147583
TEST_00010,7.607722363900393e-05,0.9999210834503174
TEST_00011,0.04650530591607094,0.9545453190803528
TEST_00012,2.5280310183006804e-06,0.9999972581863403
TEST_00013,1.6732241192585207e-06,0.9999982118606567
TEST_00014,0.008905371651053429,0.9912611842155457
TEST_00015,5.345532372302841e-06,0.9999942779541016
TEST_00016,2.3471911845263094e-06,0.9999974966049194
TEST_00017,2.147142367903143e-06,0.9999977350234985
TEST_00018,6.350371108965192e-07,0.9999992847442627
TEST_00019,6.042824225005461e-06,0.9999935626983643
TEST_00020,9.933226010616636e-07,0.999998927116394
TEST_00021,1.6954340935626533e-06,0.9999982118606567
TEST_00022,3.3227272524527507e-06,0.999996542930603
TEST_00023,0.00012083962064934894,0.9998750686645508
TEST_00024,2.556284698584932e-06,0.9999972581863403
TEST_00025,0.0008440815727226436,0.9991486072540283
TEST_00026,0.00023244469775818288,0.9997645020484924
TEST_00027,6.675389840893331e-07,0.9999992847442627
TEST_00028,0.00025374695542268455,0.999738872051239
TEST_00029,0.6127548217773438,0.3933361768722534
TEST_00030,1.1280780199740548e-05,0.9999879598617554
TEST_00031,0.00046530511463060975,0.9995331764221191
TEST_00032,2.511054844944738e-05,0.9999738931655884
TEST_00033,3.130115510430187e-05,0.999967098236084
TEST_00034,2.291137570864521e-05,0.9999758005142212
TEST_00035,5.3554008445644286e-06,0.9999942779541016
TEST_00036,6.325351478153607e-06,0.9999933242797852
TEST_00037,2.1302441837178776e-06,0.9999977350234985
TEST_00038,8.79190451996692e-07,0.9999990463256836
TEST_00039,0.0005157560808584094,0.9994737505912781
TEST_00040,8.522671123500913e-05,0.9999116659164429
TEST_00041,1.2608376891876105e-05,0.9999865293502808
TEST_00042,2.0943896288372343e-06,0.9999977350234985
TEST_00043,4.098140834685182e-06,0.9999955892562866
TEST_00044,0.0009679280337877572,0.9990419745445251
TEST_00045,1.9503995645209216e-06,0.9999978542327881
TEST_00046,3.402577476663282e-06,0.9999963045120239
