id,fake,real
TEST_00000,0.9971557855606079,0.0029588760808110237
TEST_00001,0.9842476844787598,0.01671655848622322
TEST_00002,0.9889299273490906,0.011727793142199516
TEST_00003,0.22964443266391754,0.7702149152755737
TEST_00004,0.24253809452056885,0.7571365237236023
TEST_00005,0.14847449958324432,0.8507469296455383
TEST_00006,0.12108883261680603,0.8792543411254883
TEST_00007,0.6272995471954346,0.36989375948905945
TEST_00008,0.11599709093570709,0.8855385780334473
TEST_00009,0.7872386574745178,0.2132997065782547
TEST_00010,0.8494828343391418,0.15290221571922302
TEST_00011,0.41306567192077637,0.5840011835098267
TEST_00012,0.755217432975769,0.2528904974460602
TEST_00013,0.3185739517211914,0.6787794828414917
TEST_00014,0.93451327085495,0.0661182850599289
TEST_00015,0.312353253364563,0.6862654685974121
TEST_00016,0.11371618509292603,0.8867459893226624
TEST_00017,0.586473286151886,0.41550347208976746
TEST_00018,0.0770469680428505,0.9224982857704163
TEST_00019,0.5212877988815308,0.4762909710407257
TEST_00020,0.21401405334472656,0.7872511148452759
TEST_00021,0.7981615662574768,0.19966550171375275
TEST_00022,0.6323179006576538,0.37185847759246826
TEST_00023,0.7720463871955872,0.22667625546455383
TEST_00024,0.6364266872406006,0.36454910039901733
TEST_00025,0.822467029094696,0.17717890441417694
TEST_00026,0.7701680660247803,0.2291669100522995
TEST_00027,0.17081749439239502,0.8505353927612305
TEST_00028,0.918873131275177,0.08152052760124207
TEST_00029,0.9452550411224365,0.05675288662314415
TEST_00030,0.30126482248306274,0.7015362977981567
TEST_00031,0.059337515383958817,0.9398679137229919
TEST_00032,0.37414607405662537,0.6240505576133728
TEST_00033,0.19519229233264923,0.8055528998374939
TEST_00034,0.8701999187469482,0.13000942766666412
TEST_00035,0.8047743439674377,0.20698629319667816
TEST_00036,0.8509644865989685,0.14816617965698242
TEST_00037,0.27577757835388184,0.7212870121002197
TEST_00038,0.26253268122673035,0.7362017631530762
TEST_00039,0.95098477602005,0.0498465932905674
TEST_00040,0.18441152572631836,0.8111918568611145
TEST_00041,0.22389689087867737,0.7810132503509521
TEST_00042,0.06399963051080704,0.9356661438941956
TEST_00043,0.21393725275993347,0.7892324328422546
TEST_00044,0.5908558964729309,0.4082021415233612
TEST_00045,0.8600424528121948,0.14516831934452057
TEST_00046,0.6722227334976196,0.3612608313560486
TEST_00047,0.1617092341184616,0.8393113613128662
TEST_00048,0.07100159674882889,0.9311307072639465
TEST_00049,0.08299737423658371,0.9210548996925354
TEST_00050,0.6899551749229431,0.3345082402229309
TEST_00051,0.18505573272705078,0.8143836855888367
TEST_00052,0.9368769526481628,0.06567276269197464
TEST_00053,0.8257609009742737,0.17493727803230286
TEST_00054,0.8785507082939148,0.12406042963266373
TEST_00055,0.5674754977226257,0.434997022151947
TEST_00056,0.9164454936981201,0.0838664248585701
TEST_00057,0.11533359438180923,0.8840531706809998
TEST_00058,0.8018279671669006,0.19999340176582336
TEST_00059,0.3987334370613098,0.6010543704032898
TEST_00060,0.11327046900987625,0.886431097984314
TEST_00061,0.05336809903383255,0.9467090368270874
TEST_00062,0.46154844760894775,0.5594086647033691
TEST_00063,0.14736436307430267,0.8553330898284912
TEST_00064,0.3707338571548462,0.6284396648406982
TEST_00065,0.5005611181259155,0.5016710162162781
TEST_00066,0.19119732081890106,0.8080383539199829
TEST_00067,0.9494373798370361,0.051585957407951355
TEST_00068,0.6017302870750427,0.39901435375213623
TEST_00069,0.34646081924438477,0.6516707539558411
TEST_00070,0.884457528591156,0.11593947559595108
TEST_00071,0.7019287943840027,0.30370771884918213
TEST_00072,0.0293112862855196,0.9716271162033081
TEST_00073,0.02215997874736786,0.9785021543502808
TEST_00074,0.8620073199272156,0.13938818871974945
TEST_00075,0.11248841881752014,0.8851293325424194
TEST_00076,0.6900956034660339,0.31133612990379333
TEST_00077,0.18707603216171265,0.812535285949707
TEST_00078,0.1141691580414772,0.9190294742584229
TEST_00079,0.7286065816879272,0.2715592086315155
TEST_00080,0.5353355407714844,0.4653167724609375
TEST_00081,0.6874209642410278,0.31213924288749695
TEST_00082,0.36911019682884216,0.6335847973823547
TEST_00083,0.4403051733970642,0.5568464398384094
TEST_00084,0.502138614654541,0.49786221981048584
TEST_00085,0.4314068555831909,0.5772140026092529
TEST_00086,0.4127136170864105,0.5889074802398682
TEST_00087,0.8538537621498108,0.14853689074516296
TEST_00088,0.6399828791618347,0.3583262264728546
TEST_00089,0.7336500287055969,0.2646462917327881
TEST_00090,0.5976262092590332,0.4039917588233948
TEST_00091,0.29064396023750305,0.7076682448387146
TEST_00092,0.9467188715934753,0.05558701604604721
TEST_00093,0.5994835495948792,0.3974420130252838
TEST_00094,0.4785134196281433,0.5280590653419495
TEST_00095,0.9779240489006042,0.024466734379529953
TEST_00096,0.05957522988319397,0.9411787986755371
TEST_00097,0.0560399666428566,0.9432030320167542
TEST_00098,0.6118713617324829,0.3945973515510559
TEST_00099,0.49900051951408386,0.5102733969688416
